Code	Name	Description	Department	Course	Program	Size	Actual Size	Subjects	Size Of Students	Priority	Internal Publisher	Tags	Notes 1	Notes 2	Number of Students	Locked	Hours	
3001_01_IB25_T2_M1_B_FAIL/06	3001_01_IB25_T2_M1_B_FAIL/06	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science  Fundamental Maths Stream Fail T1 subject Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M1_B_FAIL/07	3001_01_IB25_T2_M1_B_FAIL/07	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science  Fundamental Maths Stream Fail T1 subject Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M1_B_FAIL/08	3001_01_IB25_T2_M1_B_FAIL/08	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science  Fundamental Maths Stream Fail T1 subject Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B_FAIL	2	2	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IB25_T2_M1_B_FAIL/09	3001_01_IB25_T2_M1_B_FAIL/09	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science  Fundamental Maths Stream Fail T1 subject Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M1_B_FAIL/11	3001_01_IB25_T2_M1_B_FAIL/11	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science  Fundamental Maths Stream Fail T1 subject Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M1_B_FAIL/12	3001_01_IB25_T2_M1_B_FAIL/12	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science  Fundamental Maths Stream Fail T1 subject Planning Enrolment	UNSW College	DP	3001_01_IB25_T2_M1_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/01	3001_01_IB25_T2_M2_B/01	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	3	3	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				3	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/02	3001_01_IB25_T2_M2_B/02	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	3	3	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				3	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/03	3001_01_IB25_T2_M2_B/03	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	2	2	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/04	3001_01_IB25_T2_M2_B/04	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/05	3001_01_IB25_T2_M2_B/05	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/06	3001_01_IB25_T2_M2_B/06	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/07	3001_01_IB25_T2_M2_B/07	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/08	3001_01_IB25_T2_M2_B/08	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/09	3001_01_IB25_T2_M2_B/09	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/10	3001_01_IB25_T2_M2_B/10	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1324_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/11	3001_01_IB25_T2_M2_B/11	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/12	3001_01_IB25_T2_M2_B/12	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/13	3001_01_IB25_T2_M2_B/13	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/14	3001_01_IB25_T2_M2_B/14	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B/15	3001_01_IB25_T2_M2_B/15	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IB25_T2_M2_B	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1324_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/01	3001_01_IB25_T2_M2_B_FAIL/01	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/02	3001_01_IB25_T2_M2_B_FAIL/02	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/03	3001_01_IB25_T2_M2_B_FAIL/03	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/04	3001_01_IB25_T2_M2_B_FAIL/04	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/05	3001_01_IB25_T2_M2_B_FAIL/05	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1324_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/06	3001_01_IB25_T2_M2_B_FAIL/06	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/07	3001_01_IB25_T2_M2_B_FAIL/07	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject CAL 1	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1301_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/08	3001_01_IB25_T2_M2_B_FAIL/08	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/09	3001_01_IB25_T2_M2_B_FAIL/09	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/10	3001_01_IB25_T2_M2_B_FAIL/10	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/11	3001_01_IB25_T2_M2_B_FAIL/11	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/12	3001_01_IB25_T2_M2_B_FAIL/12	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/13	3001_01_IB25_T2_M2_B_FAIL/13	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/14	3001_01_IB25_T2_M2_B_FAIL/14	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IB25_T2_M2_B_FAIL/15	3001_01_IB25_T2_M2_B_FAIL/15	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science Maths 1A Stream failed Term 1 Subject MTHS1313	UNSW College	DP	3001_01_IB25_T2_M2_B_FAIL	1	1	AELC1302_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IC25_T1_A/01	3001_01_IC25_T1_A/01	Diploma of Science (3001_01_IC25) Term 1 Students Life Science all Fundamental Maths Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_A	10	0	AELC1301_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IC25_T1_A/02	3001_01_IC25_T1_A/02	Diploma of Science (3001_01_IC25) Term 1 Students Life Science all Fundamental Maths Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_A	10	0	AELC1304_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IC25_T1_M1_B/01	3001_01_IC25_T1_M1_B/01	Diploma of Science (3001_01_IC25) Term 1 Students Physical Science  Fundamental Maths Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M1_B	5	5	AELC1301_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC	1	High	false				5	false	Student - Standard Hours
3001_01_IC25_T1_M1_B/02	3001_01_IC25_T1_M1_B/02	Diploma of Science (3001_01_IC25) Term 1 Students Physical Science  Fundamental Maths Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M1_B	5	5	AELC1301_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				5	false	Student - Standard Hours
3001_01_IC25_T1_M1_B/03	3001_01_IC25_T1_M1_B/03	Diploma of Science (3001_01_IC25) Term 1 Students Physical Science  Fundamental Maths Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M1_B	2	2	AELC1301_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IC25_T1_M1_B/04	3001_01_IC25_T1_M1_B/04	Diploma of Science (3001_01_IC25) Term 1 Students Physical Science  Fundamental Maths Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M1_B	1	1	AELC1304_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IC25_T1_M1_B/05	3001_01_IC25_T1_M1_B/05	Diploma of Science (3001_01_IC25) Term 1 Students Physical Science  Fundamental Maths Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M1_B	1	1	AELC1304_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IC25_T1_M1_B/06	3001_01_IC25_T1_M1_B/06	Diploma of Science (3001_01_IC25) Term 1 Students Physical Science  Fundamental Maths Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M1_B	1	1	AELC1304_C_2025_KENS_DP_OC; MTHS1312_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IC25_T1_M2_B/01	3001_01_IC25_T1_M2_B/01	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M2_B	4	4	AELC1301_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC	1	High	false				4	false	Student - Standard Hours
3001_01_IC25_T1_M2_B/02	3001_01_IC25_T1_M2_B/02	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M2_B	3	3	AELC1301_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				3	false	Student - Standard Hours
3001_01_IC25_T1_M2_B/03	3001_01_IC25_T1_M2_B/03	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M2_B	3	3	AELC1301_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				3	false	Student - Standard Hours
3001_01_IC25_T1_M2_B/04	3001_01_IC25_T1_M2_B/04	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M2_B	1	1	AELC1304_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IC25_T1_M2_B/05	3001_01_IC25_T1_M2_B/05	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M2_B	1	1	AELC1304_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IC25_T1_M2_B/06	3001_01_IC25_T1_M2_B/06	Diploma of Science (3001_01_IB25) Term 2 Students Physical Science l Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IC25_T1_M2_B	1	1	AELC1304_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/01	3002_01_IA25_T3_M1_A_E_FAIL/01		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; EEET1381_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/02	3002_01_IA25_T3_M1_A_E_FAIL/02		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; CPTG1391_C_2025_KENS_DP_OC; EEET1381_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/03	3002_01_IA25_T3_M1_A_E_FAIL/03		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/04	3002_01_IA25_T3_M1_A_E_FAIL/04		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; CPTG1391_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/05	3002_01_IA25_T3_M1_A_E_FAIL/05		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CPTG1391_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/06	3002_01_IA25_T3_M1_A_E_FAIL/06		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; CPTG1391_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/07	3002_01_IA25_T3_M1_A_E_FAIL/07		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/08	3002_01_IA25_T3_M1_A_E_FAIL/08		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/09	3002_01_IA25_T3_M1_A_E_FAIL/09		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/10	3002_01_IA25_T3_M1_A_E_FAIL/10		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1324_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/11	3002_01_IA25_T3_M1_A_E_FAIL/11		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_E_FAIL/13	3002_01_IA25_T3_M1_A_E_FAIL/13		UNSW College	DP	3002_01_IA25_T3_M1_A_E_FAIL	2	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CPTG1393_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_FAIL/01	3002_01_IA25_T3_M1_A_FAIL/01		UNSW College	DP	3002_01_IA25_T3_M1_A_FAIL	7	0	AELC1303_C_2025_KENS_DP_OC; CPTG1391_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3002_01_IA25_T3_M1_A_FAIL/02	3002_01_IA25_T3_M1_A_FAIL/02		UNSW College	DP	3002_01_IA25_T3_M1_A_FAIL	7	0	AELC1303_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; ENGI1371_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
