Code	Name	Description	Department	Course	Program	Size	Actual Size	Subjects	Size Of Students	Priority	Internal Publisher	Tags	Notes 1	Notes 2	Number of Students	Locked	Hours	
3001_01_IA25_T3_M1_B_FAIL/01	3001_01_IA25_T3_M1_B_FAIL/01	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	1	1	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IA25_T3_M1_B_FAIL/02	3001_01_IA25_T3_M1_B_FAIL/02	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	1	1	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IA25_T3_M1_B_FAIL/03	3001_01_IA25_T3_M1_B_FAIL/03	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	2	2	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IA25_T3_M1_B_FAIL/04	3001_01_IA25_T3_M1_B_FAIL/04	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	2	2	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IA25_T3_M1_B_FAIL/05	3001_01_IA25_T3_M1_B_FAIL/05	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	1	1	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IA25_T3_M1_B_FAIL/06	3001_01_IA25_T3_M1_B_FAIL/06	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	2	2	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1321_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IA25_T3_M1_B_FAIL/07	3001_01_IA25_T3_M1_B_FAIL/07	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Fail T2 subject Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B_FAIL	1	1	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; MTHS1313_C_2025_KENS_DP_OC; PHSC1323_C_2025_KENS_DP_OC	1	High	false				1	false	Student - Standard Hours
3001_01_IA25_T3_M2_B/01	3001_01_IA25_T3_M2_B/01	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science  Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IA25_T3_M2_B	2	2	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IA25_T3_M2_B/02	3001_01_IA25_T3_M2_B/02	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science  Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IA25_T3_M2_B	2	2	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1324_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
3001_01_IA25_T3_M2_B/03	3001_01_IA25_T3_M2_B/03	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science  Maths 1A Stream Planning Enrolments	UNSW College	DP	3001_01_IA25_T3_M2_B	2	2	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
